ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated-3072-1,999.0,994.0,701.0,901.0,493.0,751.0,806.5,0.000143000143000143,0.00020120724346076458,0.0023696306863211286,0.00030103537925896647,0.0005635055155742032,6.055852470678365e-05,0.0006064895820536649,-7.407823006885712
DelayDiscountingTitrated-2072-1,937.0,999.0,589.0,493.0,313.0,399.0,621.6666666666666,0.0096051227321238,3.33667000333667e-05,0.003876627051499717,0.002817527577871016,0.0012026784541993086,0.0002751170162850048,0.002968406588668702,-5.819729972268043
DelayDiscountingTitrated-1005-1,999.0,781.0,999.0,947.0,44.0,1.0,628.5,0.000143000143000143,0.009346991037131882,5.561116672227784e-06,0.00015333207967482026,0.011905354919053548,0.18246575342465754,0.0340033321200317,-3.381296755637664
DelayDiscountingTitrated Backup1-3139-1,769.0,775.0,499.0,599.0,99.0,499.0,540.0,0.04291287386215865,0.00967741935483871,0.005577822311289245,0.0018341070734328904,0.0049868548498685486,0.00018338045954923547,0.01086207631852288,-4.522477793199831
DelayDiscountingTitrated-1118-1,999.0,998.0,998.0,998.0,99.0,123.0,702.5,0.000143000143000143,6.68002672010688e-05,1.11333778668448e-05,5.490432920635792e-06,0.0049868548498685486,0.0013022979544863942,0.001085929504223939,-6.825318972814974
DelayDiscountingTitrated Backup1-2024-1,299.0,645.0,299.0,199.0,99.0,49.0,265.0,0.3349259436215958,0.01834625322997416,0.013024897807506503,0.011027741446960832,0.0049868548498685486,0.0035448700027956386,0.06430942682645024,-2.7440490515410723
DelayDiscountingTitrated Backup1-3061-1,499.0,975.0,1.0,99.0,1.0,1.0,262.6666666666667,0.14342971657600917,0.0008547008547008547,5.55,0.024934274249342744,0.5473972602739726,0.18246575342465754,1.074846950896447,0.0721782801847574
DelayDiscountingTitrated Backup1-1016-1,994.0,973.0,837.0,721.0,737.0,127.0,731.5,0.0008623167576889911,0.0009249743062692703,0.0010819062790388956,0.001060171375372865,0.00019553539897027936,0.0012555279905080358,0.0008967386846413897,-7.0167460598178435
DelayDiscountingTitrated-1063-1,875.0,653.0,327.0,201.0,57.0,51.0,360.6666666666667,0.02040816326530612,0.017713118938233793,0.01143391097519538,0.010890751720847816,0.009065128574861811,0.0033986928104575162,0.012151627714150405,-4.4102921499256915
DelayDiscountingTitrated-2051-1,999.0,199.0,125.0,2.0,93.0,1.0,236.5,0.000143000143000143,0.13417085427135678,0.03888888888888889,1.367123287671233,0.005343938724407129,0.18246575342465754,0.28802262052059063,-1.2447162584562952
DelayDiscountingTitrated-2014-1,999.0,999.0,999.0,999.0,968.0,899.0,977.1666666666666,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,2.7424684958931536e-06,1.811389109022982e-05,2.0520009548915336e-05,3.7217388140129296e-05,-10.198734482771576
DelayDiscountingTitrated-2109-1,799.0,199.0,199.0,925.0,799.0,30.0,491.8333333333333,0.03593777936706598,0.13417085427135678,0.02236180904522613,0.00022213994816734541,0.00013784353729833526,0.005905631659056316,0.03312267630469515,-3.4075371464285493
DelayDiscountingTitrated Backup1-2042-1,999.0,999.0,994.0,899.0,699.0,499.0,848.1666666666666,0.000143000143000143,3.33667000333667e-05,3.35345405767941e-05,0.00030780014323373,0.00023595351480588708,0.00018338045954923547,0.00015617258353319274,-8.764548857518863
DelayDiscountingTitrated-1106-1,945.0,897.0,919.0,715.0,849.0,119.0,740.6666666666666,0.008314436885865457,0.003827573392790784,0.0004896626768226333,0.0010920586263052016,9.7455507688336e-05,0.0013522121177238018,0.002528899867866036,-5.97997090564635
DelayDiscountingTitrated-3134-1,813.0,875.0,599.0,399.0,299.0,51.0,506.0,0.03285890001757161,0.004761904761904762,0.00371916156557225,0.004126755244275071,0.0012846474549869427,0.0033986928104575162,0.008358343642461357,-4.784495000407831
DelayDiscountingTitrated-2091-1,974.0,467.0,325.0,101.0,85.0,51.0,333.8333333333333,0.0038134350249339984,0.03804425410421128,0.011538461538461539,0.024386274243862742,0.005898468976631748,0.0033986928104575162,0.014513264449759804,-4.23269225808204
DelayDiscountingTitrated Backup1-3127-1,988.0,893.0,976.0,699.0,399.0,437.0,732.0,0.001735106998264893,0.003994027622247107,0.0001366120218579235,0.0011797675740294355,0.0008253510488550142,0.00023531132775357093,0.0013510294321679907,-6.6068884347728405
DelayDiscountingTitrated-3091-1,975.0,499.0,499.0,327.0,339.0,249.0,481.3333333333333,0.003663003663003663,0.03346693386773547,0.005577822311289245,0.005638641028863475,0.0010684123328080172,0.0005508793163521667,0.008327615420008672,-4.788178127889377
DelayDiscountingTitrated-3155-1,989.0,479.0,749.0,387.0,25.0,99.0,454.6666666666667,0.0015889065434060378,0.03625608907446068,0.0018617415813677496,0.004339669392233903,0.021369863013698632,0.001662284949956183,0.01117975909252053,-4.493650359562434
DelayDiscountingTitrated-1122-1,57.0,281.0,253.0,467.0,40.0,73.0,195.16666666666666,2.363408521303258,0.08529062870699881,0.016403162055335967,0.0031269249948666805,0.01315068493150685,0.0023193844999061736,0.41394988441531216,-0.8820103646211511
DelayDiscountingTitrated Backup1-3103-1,999.0,845.0,749.0,499.0,99.0,249.0,573.3333333333334,0.000143000143000143,0.00611439842209073,0.0018617415813677496,0.0027507068932385316,0.0049868548498685486,0.0005508793163521667,0.0027345968676529783,-5.901771251539748
